OBJECTID,STATEFP,PLACEFP,PLACENS,GEOID,NAME,NAMELSAD,LSAD,CLASSFP,PCICBSA,PCINECTA,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Shape_Length,Shape_Area
340,8,29295,2583238,829295,Garfield,Garfield CDP,57,U1,N,N,G4210,S,855750,0,38.5491974,-106.2893514,0.077016961,8.84531E-05
341,8,29625,2408287,829625,Genesee,Genesee CDP,57,U1,N,N,G4210,S,17242333,"14,724.00",39.6879013,-105.2712049,0.236222142,0.001811905
342,8,29845,2583239,829845,Gerrard,Gerrard CDP,57,U1,N,N,G4210,S,3104490,0,37.6783507,-106.5752435,0.112901129,0.000317076
343,8,30350,2583240,830350,Glendale,Glendale CDP,57,U1,N,N,G4210,S,3250995,0,40.0869113,-105.3715458,0.125051949,0.000343303
344,8,30420,2408300,830420,Gleneagle,Gleneagle CDP,57,U1,N,N,G4210,S,6110980,"13,400.00",39.0399416,-104.8251762,0.122739985,0.000637238
345,8,30890,2583241,830890,Goldfield,Goldfield CDP,57,U1,N,N,G4210,S,364824,0,38.7176448,-105.1253275,0.027593707,3.77887E-05
346,8,30945,2408304,830945,Gold Hill,Gold Hill CDP,57,U1,N,N,G4210,S,5373512,0,40.0597327,-105.4189204,0.096708285,0.000567216
347,8,31935,2408317,831935,Grand View Estates,Grand View Estates CDP,57,U1,N,N,G4210,S,2191974,0,39.543939,-104.8188853,0.061738285,0.000229678
348,8,33420,2629988,833420,Guffey,Guffey CDP,57,U1,N,N,G4210,S,22466110,"52,654.00",38.7606505,-105.509821,0.28107238,0.002333791
349,8,33502,2408343,833502,Gunbarrel,Gunbarrel CDP,57,U1,N,N,G4210,S,16184102,"155,454.00",40.0639706,-105.1711224,0.353017367,0.001724853
350,8,34685,2583243,834685,Hasty,Hasty CDP,57,U1,N,N,G4210,S,912224,0,38.1065555,-102.9561674,0.068644069,9.37044E-05
351,8,35400,2583244,835400,Heeney,Heeney CDP,57,U1,N,N,G4210,S,588790,0,39.8739875,-106.3041554,0.074759071,6.19827E-05
352,8,35860,2583245,835860,Hidden Lake,Hidden Lake CDP,57,U1,N,N,G4210,S,1583388,"37,319.00",40.1051604,-105.477571,0.060074436,0.00017119
353,8,36410,2408386,836410,Highlands Ranch,Highlands Ranch CDP,57,U1,N,N,G4210,S,62856814,"70,330.00",39.5407395,-104.9709607,0.417891163,0.006593392
354,8,36940,2583247,836940,Hoehne,Hoehne CDP,57,U1,N,N,G4210,S,8045749,0,37.2814482,-104.3890919,0.197658891,0.000817474
355,8,37220,2629989,837220,Holly Hills,Holly Hills CDP,57,U1,N,N,G4210,S,1519404,0,39.6677764,-104.9217282,0.103510848,0.000159485
356,8,37655,2583248,837655,Howard,Howard CDP,57,U1,N,N,G4210,S,43359673,0,38.409751,-105.8424067,0.391429647,0.004472244
357,8,38425,2583249,838425,Idalia,Idalia CDP,57,U1,N,N,G4210,S,219963,0,39.7029168,-102.2938271,0.019106332,2.31004E-05
358,8,38480,2583250,838480,Idledale,Idledale CDP,57,U1,N,N,G4210,S,717368,0,39.6689276,-105.2431911,0.059287088,7.53002E-05
359,8,38810,2408420,838810,Indian Hills,Indian Hills CDP,57,U1,N,N,G4210,S,14066410,"8,837.00",39.630111,-105.2480973,0.240621204,0.001476613
360,8,38910,2629990,838910,Inverness,Inverness CDP,57,U1,N,N,G4210,S,4315564,0,39.5796542,-104.8624143,0.128171238,0.000452419
361,8,39160,2583251,839160,Jackson Lake,Jackson Lake CDP,57,U2,N,N,G4210,S,7924379,0,40.3700545,-104.0591728,0.315443595,0.000840326
362,8,39250,2583252,839250,Jansen,Jansen CDP,57,U1,N,N,G4210,S,3038854,0,37.1581577,-104.550108,0.127307877,0.000308261
363,8,39745,2583253,839745,Joes,Joes CDP,57,U1,N,N,G4210,S,5401097,"7,295.00",39.6632327,-102.6784987,0.097222162,0.000567597
364,8,39800,2583254,839800,Johnson Village,Johnson Village CDP,57,U1,N,N,G4210,S,774040,0,38.811894,-106.1071117,0.057709502,8.02785E-05
365,8,40377,2408469,840377,Ken Caryl,Ken Caryl CDP,57,U1,N,N,G4210,S,25117768,"79,085.00",39.5767426,-105.1136952,0.259809269,0.002641392
366,8,40550,2408479,840550,Keystone,Keystone CDP,57,U1,N,N,G4210,S,107205453,"86,374.00",39.5736953,-105.934609,0.670350572,0.011249625
367,8,40900,2583255,840900,Kirk,Kirk CDP,57,U1,N,N,G4210,S,10621939,0,39.6126887,-102.5919946,0.134763135,0.001114064
368,8,41065,2408491,841065,Kittredge,Kittredge CDP,57,U1,N,N,G4210,S,4879686,"1,177.00",39.658891,-105.3045056,0.13060938,0.000512262
369,8,42000,2583256,842000,Laird,Laird CDP,57,U1,N,N,G4210,S,389024,0,40.0818012,-102.1018979,0.034907055,4.10775E-05
