"countyfips","MuniTotalFlag","placefips","municipality","totalPopulation_2010c","groupquartersPopulation_2010c","householdPopulation_2010c","householdSize_2010c","totalHousingUnits_2010c","occupiedHousingUnits_2010c","vacantHousingUnits_2010c","vacancyRate_2010c","totalpopulation_2010","groupquartersPopulation_2010","householdPopulation_2010","householdSize_2010","totalHousingUnits_2010","occupiedHousingUnits_2010","vacantHousingUnits_2010","vacancyRate_2010","totalpopulation_2011","groupquartersPopulation_2011","householdPopulation_2011","householdSize_2011","totalHousingUnits_2011","occupiedHousingUnits_2011","vacantHousingUnits_2011","vacancyRate_2011","totalpopulation_2012","groupquartersPopulation_2012","householdPopulation_2012","householdSize_2012","totalHousingUnits_2012","occupiedHousingUnits_2012","vacantHousingUnits_2012","vacancyRate_2012","totalpopulation_2013","groupquartersPopulation_2013","householdPopulation_2013","householdSize_2013","totalHousingUnits_2013","occupiedHousingUnits_2013","vacantHousingUnits_2013","vacancyRate_2013"
"039",1,"40790","Kiowa",723,35,688,2.45,322,280,42,13.04,723,35,688,2.45,322,280,42,13.04,724,35,689,2.46,322,280,42,13.04,727,35,692,2.45,322,282,40,12.42,732,35,697,2.45,322,284,38,11.80
"039",1,"99990","Unincorp. Area",20387,8,20379,2.75,7820,7390,430,5.49,20408,8,20400,2.75,7830,7398,432,5.51,20530,8,20522,2.75,7862,7442,420,5.34,20683,8,20675,2.75,7892,7497,395,5.00,20944,8,20936,2.75,7935,7592,343,4.32
"041",1,"57025","Palmer Lake",2420,3,2417,2.53,1079,955,124,11.49,2423,3,2420,2.53,1080,956,124,11.48,2488,3,2485,2.53,1087,982,105,9.65,2521,3,2518,2.53,1096,995,101,9.21,2562,3,2559,2.53,1109,1011,98,8.83
"041",1,"62660","Ramah",123,0,123,2.19,68,56,12,17.64,123,0,123,2.19,68,56,12,17.64,126,0,126,2.21,68,57,11,16.17,126,0,126,2.21,68,57,11,16.17,127,0,127,2.18,68,58,10,14.70
"041",1,"11260","Calhan",780,0,780,2.51,348,310,38,10.91,780,0,780,2.51,348,310,38,10.91,798,0,798,2.51,349,317,32,9.16,804,0,804,2.51,350,320,30,8.57,808,0,808,2.51,350,321,29,8.28
"041",1,"16000","Colorado Springs",417335,8537,408798,2.43,179607,167788,11819,6.58,420716,8537,412179,2.43,179650,169176,10474,5.83,426851,8437,418414,2.43,180117,171735,8382,4.65,432467,8470,423997,2.43,181650,174026,7624,4.19,437879,8819,429060,2.43,182998,176104,6894,3.76
"041",1,"27865","Fountain",25846,0,25846,2.96,9371,8724,647,6.90,25888,0,25888,2.96,9382,8738,644,6.86,26528,0,26528,2.96,9424,8954,470,4.98,27156,0,27156,2.96,9601,9166,435,4.53,27988,0,27988,2.96,9851,9447,404,4.10
"041",,"32650","Green Mtn. Falls (Part)",612,24,588,1.99,557,295,262,47.03,780,24,756,1.99,557,379,178,31.95,799,24,775,1.99,559,389,170,30.41,803,24,779,1.99,560,391,169,30.17,813,24,789,1.99,564,396,168,29.78
"041",1,"48445","Manitou Springs",4992,33,4959,1.98,2796,2504,292,10.44,5001,33,4968,1.98,2800,2509,291,10.39,5134,33,5101,1.98,2818,2576,242,8.58,5204,33,5171,1.98,2843,2611,232,8.16,5286,33,5253,1.98,2875,2652,223,7.75
"041",1,"51800","Monument",5530,0,5530,3.06,1884,1802,82,4.35,5539,0,5539,3.06,1886,1805,81,4.29,5689,0,5689,3.06,1899,1854,45,2.36,5767,0,5767,3.06,1916,1879,37,1.93,5860,0,5860,3.06,1938,1910,28,1.44
"041",1,"99990","Unincorp. Area",164625,10544,154081,2.87,57142,53525,3617,6.32,165982,10544,155438,2.87,57186,53997,3189,5.57,168869,10544,158325,2.87,57530,55000,2530,4.39,171549,10544,161005,2.87,58224,55930,2294,3.93,174489,10544,163945,2.87,59023,56952,2071,3.50
"043",1,"64970","Rockvale",487,0,487,2.41,227,202,25,11.01,487,0,487,2.41,227,202,25,11.01,496,0,496,2.40,231,206,25,10.82,498,0,498,2.40,232,207,25,10.77,494,0,494,2.40,233,205,28,12.01
"043",1,"85155","Williamsburg",662,0,662,2.55,280,259,21,7.50,662,0,662,2.55,280,259,21,7.50,662,0,662,2.55,280,259,21,7.50,667,0,667,2.55,282,261,21,7.44,659,0,659,2.55,282,258,24,8.51
"043",1,"09115","Brookside",233,0,233,2.45,100,95,5,5.00,233,0,233,2.45,100,95,5,5.00,235,0,235,2.44,101,96,5,4.95,242,0,242,2.44,104,99,5,4.80,242,0,242,2.44,105,99,6,5.71
"043",1,"11810","Canon City",16400,1574,14826,2.23,7295,6640,655,8.97,16407,1574,14833,2.23,7298,6643,655,8.97,16446,1599,14847,2.23,7307,6649,658,9.00,16403,1546,14857,2.23,7315,6654,661,9.03,16303,1599,14704,2.23,7319,6585,734,10.02
"043",1,"15330","Coal Creek",343,0,343,2.43,160,141,19,11.87,343,0,343,2.43,160,141,19,11.87,343,0,343,2.43,160,141,19,11.87,343,0,343,2.43,160,141,19,11.87,339,0,339,2.43,160,139,21,13.12
"043",1,"27040","Florence",3881,91,3790,2.39,1749,1580,169,9.66,3881,91,3790,2.39,1749,1580,169,9.66,3882,91,3791,2.39,1750,1580,170,9.71,3868,91,3777,2.39,1744,1575,169,9.69,3829,91,3738,2.39,1745,1558,187,10.71
"043",1,"99990","Unincorp. Area",24818,7039,17779,2.31,9431,7665,1766,18.72,24841,7039,17802,2.31,9442,7675,1767,18.71,25265,7363,17902,2.31,9498,7718,1780,18.74,24921,7029,17892,2.31,9498,7714,1784,18.78,24394,6694,17700,2.31,9498,7631,1867,19.65
"045",1,"57400","Parachute",1085,0,1085,2.92,539,371,168,31.16,1080,0,1080,2.92,539,369,170,31.53,1075,0,1075,2.92,538,368,170,31.59,1092,0,1092,2.92,539,373,166,30.79,1095,0,1095,2.92,539,374,165,30.61
"045",1,"64255","Rifle",9172,135,9037,2.80,3626,3221,405,11.16,9133,135,8998,2.80,3629,3207,422,11.62,9121,135,8986,2.80,3632,3203,429,11.81,9245,135,9110,2.80,3632,3247,385,10.60,9279,135,9144,2.80,3635,3259,376,10.34
"045",1,"70195","Silt",2930,0,2930,2.97,1077,986,91,8.44,2915,0,2915,2.97,1077,981,96,8.91,2914,0,2914,2.97,1079,981,98,9.08,2973,0,2973,2.97,1086,1000,86,7.91,2988,0,2988,2.97,1088,1006,82,7.53
"045",1,"12045","Carbondale",6427,105,6322,2.80,2468,2251,217,8.79,6395,105,6290,2.80,2468,2240,228,9.23,6389,105,6284,2.80,2471,2237,234,9.46,6476,105,6371,2.80,2471,2268,203,8.21,6514,105,6409,2.80,2479,2282,197,7.94
"045",1,"30780","Glenwood Springs",9614,177,9437,2.49,4113,3778,335,8.14,9571,177,9394,2.49,4115,3761,354,8.60,9550,177,9373,2.49,4115,3752,363,8.82,9682,177,9505,2.49,4116,3805,311,7.55,9849,177,9672,2.49,4176,3872,304,7.27
"045",1,"53395","New Castle",4518,0,4518,2.87,1718,1571,147,8.55,4495,0,4495,2.87,1718,1563,155,9.02,4488,0,4488,2.87,1719,1561,158,9.19,4550,0,4550,2.87,1719,1582,137,7.96,4563,0,4563,2.87,1719,1587,132,7.67
"045",1,"99990","Unincorp. Area",22643,467,22176,2.71,9768,8181,1587,16.24,22561,467,22094,2.71,9781,8151,1630,16.66,22557,451,22106,2.71,9808,8155,1653,16.85,22930,467,22463,2.71,9831,8287,1544,15.70,23010,432,22578,2.71,9853,8329,1524,15.46
"047",,"12910","Central City (Part)",663,0,663,1.93,487,342,145,29.77,668,0,668,1.93,489,345,144,29.44,667,0,667,1.93,489,344,145,29.65,671,0,671,1.93,493,346,147,29.81,683,0,683,1.94,493,352,141,28.60
"047",1,"07025","Black Hawk",118,0,118,2.31,69,51,18,26.08,118,0,118,2.31,69,51,18,26.08,118,0,118,2.31,69,51,18,26.08,118,0,118,2.31,69,51,18,26.08,120,0,120,2.30,69,52,17,24.63
"047",1,"99990","Unincorp. Area",4660,49,4611,2.23,3004,2067,937,31.19,4677,49,4628,2.23,3006,2075,931,30.97,4678,49,4629,2.23,3010,2075,935,31.06,4692,49,4643,2.23,3022,2081,941,31.13,4786,49,4737,2.23,3030,2123,907,29.93
